Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Consultar Deuda,350,6,3,46,"3,92","100,000%",",68116","0,10","0,09","154,0"
Total,350,6,3,46,"3,92","100,000%",",68116","0,10","0,09","154,0"
