Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Consultar Deuda,400,6,3,46,"3,73","100,000%",",23308","0,04","0,03","154,0"
Total,400,6,3,46,"3,73","100,000%",",23308","0,04","0,03","154,0"
