Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Consultar Deuda,750,5,3,46,"2,97","100,000%",",35623","0,05","0,05","154,0"
Total,750,5,3,46,"2,97","100,000%",",35623","0,05","0,05","154,0"
