Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Consultar Deuda,700,5,3,46,"3,02","100,000%",",34984","0,05","0,05","154,0"
Total,700,5,3,46,"3,02","100,000%",",34984","0,05","0,05","154,0"
