Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
Consultar Deuda,500,5,3,46,"3,43","100,000%",",26422","0,04","0,04","154,0"
Total,500,5,3,46,"3,43","100,000%",",26422","0,04","0,04","154,0"
